words,level
pretty,A2
room,A2
rich,A2
sugar,A2
sunday,A2
three,A2
hope,A2
blond,A2
period,A2
play,A2
dress,A2
fifty,A2
drink,A2
special,A2
grow,A2
its,A2
beach,A2
write,A2
busy,A2
sea,A2
report,A2
another,A2
after,A2
cafe,A2
run,A2
extra,A2
routine,A2
thursday,A2
from,A2
ten,A2
friday,A2
air,A2
airport,A2
too,A2
new,A2
should,A2
clock,A2
black,A2
until,A2
window,A2
twenty,A2
money,A2
mouth,A2
look,A2
ninety,A2
who,A2
object,A2
strong,A2
star,A2
fifth,A2
win,A2
moment,A2
during,A2
cat,A2
may,A2
fruit,A2
good,A2
stay,A2
delicious,A2
wake,A2
die,A2
activity,A2
head,A2
health,A2
course,A2
time,A2
quickly,A2
movie,A2
food,A2
mean,A2
sell,A2
basketball,A2
piece,A2
slow,A2
february,A2
design,A2
television,A2
customer,A2
partner,A2
egg,A2
terrible,A2
monday,A2
chart,A2
cook,A2
sleep,A2
will,A2
somebody,A2
supermarket,A2
history,A2
metre,A2
museum,A2
often,A2
prefer,A2
neighborhood,A2
in,A2
my,A2
believe,A2
orange,A2
sun,A2
past,A2
tree,A2
team,A2
trip,A2
information,A2
expensive,A2
bus,A2
large,A2
dog,A2
return,A2
station,A2
still,A2
close,A2
sad,A2
hot,A2
difficult,A2
negative,A2
forty,A2
park,A2
salt,A2
week,A2
personal,A2
tv,A2
wide,B1
discussion,B1
listener,B1
along,B1
individual,B1
fresh,B1
social,B1
user,B1
digital,B1
roof,B1
stamp,B1
exactly,B1
among,B1
repair,B1
scary,B1
continent,B1
award,B1
alone,B1
rate,B1
effect,B1
fight,B1
ski,B1
trainer,B1
possibility,B1
bit,B1
wow,B1
reporter,B1
trash,B1
prize,B1
pull,B1
percent,B1
society,B1
department,B1
tool,B1
shall,B1
exist,B1
strategy,B1
process,B1
respond,B1
size,B1
invent,B1
mention,B1
worst,B1
chef,B1
top,B1
fit,B1
deal,B1
crowd,B1
accident,B1
fair,B1
grass,B1
behavior,B1
attend,B1
speech,B1
mathematics,B1
transportation,B1
monkey,B1
energy,B1
architecture,B1
elevator,B1
yours,B1
camping,B1
jewellery,B1
joke,B1
moon,B1
quality,B1
coast,B1
kid,B1
divorced,B1
hold,B1
weak,B1
rise,B1
normal,B1
peace,B1
gift,B1
instrument,B1
prevent,B1
soldier,B1
stair,B1
designer,B1
communicate,B1
drawing,B1
public,B1
mail,B1
tablet,B1
evidence,B1
cell,B1
businessman,B1
enormous,B1
increase,B1
lend,B1
blood,B1
reduce,B1
web,B1
pleased,B1
diary,B1
fever,B1
loud,B1
soap,B1
refrigerator,B1
clerk,B1
straight,B1
purpose,B1
community,B1
double,B1
consider,B1
airline,B1
silver,B1
habit,B1
invitation,B1
traditional,B1
pick,B1
speaker,B1
electric,B1
lost,B1
sheet,B1
fail,B1
gate,B1
